X,Y,Z,formation,smooth,sondeo,id
1104571.624,1282546.624,688.0111,Qd,1.00E-08,s1,1
1104571.388,1282546.388,670.0111,QbO2,1.00E-08,s1,2
1104571.526,1282546.526,630.0111,QbO1,1.00E-08,s1,3
1104571.212,1282546.212,610.0111,fm_bocas,1.00E-08,s1,4
1104872.539,1282566.539,720.0111,Qd,1.00E-08,s2,5
1104872.368,1282566.368,692.0111,QbO2,1.00E-08,s2,6
1104872.596,1282566.596,638.0111,QbO1,1.00E-08,s2,7
1104872.547,1282566.547,618.0111,fm_tiburon,1.00E-08,s2,8
1104776.307,1282770.307,728.0111,Qd,1.00E-08,s3,9
1104776.836,1282770.836,698.0111,QbO2,1.00E-08,s3,10
1104776.62,1282770.62,654.0111,QbO1,1.00E-08,s3,11
1104776.792,1282770.792,634.0111,fm_tiburon,1.00E-08,s3,12
1105045.357,1282666.357,700.0111,Qd,1.00E-08,s4,13
1105045.639,1282666.639,674.0111,QbO2,1.00E-08,s4,14
1105045.684,1282666.684,637.0111,QbO1,1.00E-08,s4,15
1105045.029,1282666.029,617.0111,fm_tiburon,1.00E-08,s4,16
1105115.605,1282584.605,728.0111,Qd,1.00E-08,s5,17
1105115.701,1282584.701,698.0111,QbO2,1.00E-08,s5,18
1105115.559,1282584.559,654.0111,QbO1,1.00E-08,s5,19
1105115.643,1282584.643,634.0111,fm_tiburon,1.00E-08,s5,20
1104979.951,1282333.951,753.0111,Qd,1.00E-08,s6,21
1104979.001,1282333.001,703.0111,QbO2,1.00E-08,s6,22
1104979.412,1282333.412,662.0111,QbO1,1.00E-08,s6,23
1104979.479,1282333.479,630.0111,fm_bocas,1.00E-08,s6,24
1105312.289,1282410.289,781.0111,Qd,1.00E-08,s7,25
1105312.791,1282410.791,754.0111,QbO2,1.00E-08,s7,26
1105312.33,1282410.33,720.0111,QbO1,1.00E-08,s7,27
1105312.33,1282410.33,695.0111,fm_tiburon,1.00E-08,s7,28
1105312.33,1282410.33,670.0111,fm_bocas,1.00E-08,s7,29
1105312.01,1282410.01,645.0111,fm_diamante,1.00E-08,s7,30
1104921.693,1282228.307,780.0111,Qd,1.00E-08,s1g,31
1104921.693,1282228.307,730.0111,QbO2,1.00E-08,s1g,32
1104921.693,1282228.307,695.0111,QbO1,1.00E-08,s1g,33
1104921.693,1282228.307,655.0111,fm_bocas,1.00E-08,s1g,34
1104921.693,1282228.307,635.0111,fm_diamante,1.00E-08,s1g,35
1104989.317,1282186.09,788.0111,Qd,1.00E-08,s2g,36
1104989.317,1282186.09,738.0111,QbO2,1.00E-08,s2g,37
1104989.317,1282186.09,703.0111,QbO1,1.00E-08,s2g,38
1104989.317,1282186.09,653.0111,fm_bocas,1.00E-08,s2g,39
1104989.317,1282186.09,638.0111,fm_diamante,1.00E-08,s2g,40
1105045.242,1282166.468,789.0111,Qd,1.00E-08,s3g,41
1105045.242,1282166.468,738.0111,QbO2,1.00E-08,s3g,42
1105045.242,1282166.468,703.0111,QbO1,1.00E-08,s3g,43
1105045.242,1282166.468,693.0111,fm_tiburon,1.00E-08,s3g,44
1105045.242,1282166.468,655.0111,fm_bocas,1.00E-08,s3g,45
1105045.242,1282166.468,632.0111,fm_diamante,1.00E-08,s3g,46
1105086.42,1282152.303,792.0111,Qd,1.00E-08,s4g,47
1105086.42,1282152.303,742.0111,QbO2,1.00E-08,s4g,48
1105086.42,1282152.303,707.0111,QbO1,1.00E-08,s4g,49
1105086.42,1282152.303,697.0111,fm_tiburon,1.00E-08,s4g,50
1105086.42,1282152.303,652.0111,fm_bocas,1.00E-08,s4g,51
1105086.42,1282152.303,637.0111,fm_diamante,1.00E-08,s4g,52
1105147.286,1282250.109,798.0111,Qd,1.00E-08,s5g,53
1105147.286,1282250.109,748.0111,QbO2,1.00E-08,s5g,54
1105147.286,1282250.109,713.0111,QbO1,1.00E-08,s5g,55
1105147.286,1282250.109,703.0111,fm_tiburon,1.00E-08,s5g,56
1105147.286,1282250.109,653.0111,fm_bocas,1.00E-08,s5g,57
1105147.286,1282250.109,640.0111,fm_diamante,1.00E-08,s5g,58
1105312.696,1282283.341,811.0111,Qd,1.00E-08,s6g,59
1105312.696,1282283.341,754.0111,QbO2,1.00E-08,s6g,60
1105312.696,1282283.341,719.0111,QbO1,1.00E-08,s6g,61
1105312.696,1282283.341,699.0111,fm_tiburon,1.00E-08,s6g,62
1105312.696,1282283.341,659.0111,fm_bocas,1.00E-08,s6g,63
1105312.696,1282283.341,639.0111,fm_diamante,1.00E-08,s6g,64
1105045.865,1283042.65,684.0111,Qd,1.00E-08,ip1,65
1105045.865,1283042.65,665.0111,QbO2,1.00E-08,ip1,66
1105045.865,1283042.65,632.0111,QbO1,1.00E-08,ip1,67
1105045.865,1283042.65,602.0111,fm_tiburon,1.00E-08,ip1,68
1105045.865,1283042.65,568.0111,fm_bocas,1.00E-08,ip1,69
1105045.865,1283042.65,532.0111,fm_diamante,1.00E-08,ip1,70
1105263.705,1282913.065,695.0111,Qd,1.00E-08,ip2,71
1105263.705,1282913.065,670.0111,QbO2,1.00E-08,ip2,72
1105263.705,1282913.065,632.0111,QbO1,1.00E-08,ip2,73
1105263.705,1282913.065,602.0111,fm_tiburon,1.00E-08,ip2,74
1104568.065,1282941.011,683.0111,Qd,1.00E-08,ip3,75
1104568.065,1282941.011,665.0111,QbO2,1.00E-08,ip3,76
1104568.065,1282941.011,625.0111,QbO1,1.00E-08,ip3,77
1104568.065,1282941.011,595.0111,fm_tiburon,1.00E-08,ip3,78
1104568.065,1282941.011,565.0111,fm_bocas,1.00E-08,ip3,79
1104568.065,1282941.011,535.0111,fm_diamante,1.00E-08,ip3,80
1104809.065,1282998.065,679.0111,Qd,1.00E-08,ip4,81
1104809.065,1282998.065,660.0111,QbO2,1.00E-08,ip4,82
1104809.065,1282998.065,648.0111,QbO1,1.00E-08,ip4,83
1104809.065,1282998.065,618.0111,fm_tiburon,1.00E-08,ip4,84
1104809.065,1282998.065,588.0111,fm_bocas,1.00E-08,ip4,85
1104809.065,1282998.065,558.0111,fm_diamante,1.00E-08,ip4,86
1104525.2,1282198.2,773.0111,Qd,1.00E-08,ip5,87
1104525.2,1282198.2,723.0111,QbO2,1.00E-08,ip5,88
1104525.2,1282198.2,682.0111,QbO1,1.00E-08,ip5,89
1104525.2,1282198.2,672.0111,fm_tiburon,1.00E-08,ip5,90
1104525.2,1282198.2,642.0111,fm_bocas,1.00E-08,ip5,91
1104525.2,1282198.2,602.0111,fm_diamante,1.00E-08,ip5,92
1105260.8,1283052.1,685.0111,Qd,1.00E-08,ip6,93
1105260.8,1283052.1,670.0111,QbO2,1.00E-08,ip6,94
1105260.8,1283052.1,632.0111,QbO1,1.00E-08,ip6,95
1105260.8,1283052.1,612.0111,fm_tiburon,1.00E-08,ip6,96
1105260.8,1283052.1,580.0111,fm_bocas,1.00E-08,ip6,97
1105260.8,1283052.1,550.0111,fm_diamante,1.00E-08,ip6,98
1104490.805,1283076.605,678.0111,Qd,1.00E-08,ip7,99
1104490.805,1283076.605,660.0111,QbO2,1.00E-08,ip7,100
1104490.805,1283076.605,620.0111,QbO1,1.00E-08,ip7,101
1104490.805,1283076.605,600.0111,fm_tiburon,1.00E-08,ip7,102
1104490.805,1283076.605,560.0111,fm_bocas,1.00E-08,ip7,103
1104490.805,1283076.605,525.0111,fm_diamante,1.00E-08,ip7,104
1104538.065,1282371.061,750.0111,Qd,1.00E-08,ip8,105
1104538.065,1282371.061,691.0111,QbO2,1.00E-08,ip8,106
1104538.065,1282371.061,645.0111,QbO1,1.00E-08,ip8,107
1104538.065,1282371.061,625.0111,fm_tiburon,1.00E-08,ip8,108
1104538.065,1282371.061,630.0111,fm_bocas,1.00E-08,ip8,109
1104538.065,1282371.061,589.0111,fm_diamante,1.00E-08,ip8,110
1104930.607,1282439.207,743.01111,Qd,1.00E-08,ip9,111
1104930.607,1282439.207,693.0111,QbO2,1.00E-08,ip9,112
1104930.607,1282439.207,652.0111,QbO1,1.00E-08,ip9,113
1104930.607,1282439.207,620.0111,fm_tiburon,1.00E-08,ip9,114
1104930.607,1282439.207,590.0111,fm_bocas,1.00E-08,ip9,115
1104930.607,1282439.207,550.0111,fm_diamante,1.00E-08,ip9,116
1104875.506,1282699.602,710.0111,Qd,1.00E-08,ip10,117
1104875.506,1282699.602,682.0111,QbO2,1.00E-08,ip10,118
1104875.506,1282699.602,645.0111,QbO1,1.00E-08,ip10,119
1104875.506,1282699.602,625.0111,fm_tiburon,1.00E-08,ip10,120
1104875.506,1282699.602,587.0111,fm_bocas,1.00E-08,ip10,121
1104875.506,1282699.602,555.0111,fm_diamante,1.00E-08,ip10,122
1104423,1282399,760.0111,Qd,1.00E-08,ipd1,123
1104423,1282399,701.0111,QbO2,1.00E-08,ipd1,124
1104423,1282399,655.0111,QbO1,1.00E-08,ipd1,125
1104423,1282399,615.0111,fm_tiburon,1.00E-08,ipd1,126
1104423,1282399,575.0111,fm_bocas,1.00E-08,ipd1,127
1104423,1282399,535.0111,fm_diamante,1.00E-08,ipd1,128
1104578,1282303,762.0111,Qd,1.00E-08,ipd2,129
1104578,1282303,703.0111,QbO2,1.00E-08,ipd2,130
1104578,1282303,657.0111,QbO1,1.00E-08,ipd2,131
1104578,1282303,617.0111,fm_tiburon,1.00E-08,ipd2,132
1104578,1282303,577.0111,fm_bocas,1.00E-08,ipd2,133
1104578,1282303,537.0111,fm_diamante,1.00E-08,ipd2,134
1104724,1282264,767.0111,Qd,1.00E-08,ipd3,135
1104724,1282264,712.0111,QbO2,1.00E-08,ipd3,136
1104724,1282264,674.0111,QbO1,1.00E-08,ipd3,137
1104724,1282264,634.0111,fm_tiburon,1.00E-08,ipd3,138
1104724,1282264,594.0111,fm_bocas,1.00E-08,ipd3,139
1104724,1282264,557.0111,fm_diamante,1.00E-08,ipd3,140
1105046,1282255,775.0111,Qd,1.00E-08,ipd4,141
1105046,1282255,720.0111,QbO2,1.00E-08,ipd4,142
1105046,1282255,680.0111,QbO1,1.00E-08,ipd4,143
1105046,1282255,640.0111,fm_tiburon,1.00E-08,ipd4,144
